State_Name,Year,District,Total_Count
Bihar,2022,samastipur district,2932752
Bihar,2022,saran district,2939804
Bihar,2022,sheikhpura district,416317
Bihar,2022,sheohar district,344412
Bihar,2022,sitamarhi district,2015604
Bihar,2022,siwan district,2573775
Bihar,2022,supaul district,1364302
Bihar,2022,vaishali district,2676064
Bihar,2023,araria district,1431603
Bihar,2023,arwal district,394318
Bihar,2023,aurangabad district,1567510
Bihar,2023,banka district,891162
Bihar,2023,begusarai district,1903435
Bihar,2023,bhagalpur district,2354056
Bihar,2023,bhojpur district,1742372
Bihar,2023,buxar district,1017637
Bihar,2023,darbhanga district,2581750
Bihar,2023,gaya district,2961692
Bihar,2023,gopalganj district,1789860
Bihar,2023,jamui district,971721
Bihar,2023,jehanabad district,701020
Bihar,2023,kaimur bhabua district,862643
Bihar,2023,katihar district,1701014
Bihar,2023,khagaria district,930452
Bihar,2023,kishanganj district,836285
Bihar,2023,lakhisarai district,603837
Bihar,2023,madhepura district,1083958
Bihar,2023,madhubani district,2595541
Bihar,2023,munger district,963224
Bihar,2023,muzaffarpur district,3711082
Bihar,2023,nalanda district,2173362
Bihar,2023,nawada district,1270595
Bihar,2023,pashchim champaran district,2690445
Bihar,2023,patna district,9315171
Bihar,2023,purbi champaran district,3551029
Bihar,2023,purnia district,1951513
Bihar,2023,rohtas district,2082515
Bihar,2023,saharsa district,1165585
Bihar,2023,samastipur district,2606515
Bihar,2023,saran district,2613821
Bihar,2023,sheikhpura district,368585
Bihar,2023,sheohar district,306673
Bihar,2023,sitamarhi district,1791919
Bihar,2023,siwan district,2287593
Bihar,2023,supaul district,1208448
Bihar,2023,vaishali district,2374551
Chandigarh,2018,chandigarh district,523127
Chandigarh,2019,chandigarh district,1006541
Chandigarh,2020,chandigarh district,1403228
Chandigarh,2021,chandigarh district,1861125
Chandigarh,2022,chandigarh district,2337392
Chandigarh,2023,chandigarh district,2037328
Chhattisgarh,2018,balod district,95423
Chhattisgarh,2018,baloda bazar district,157666
Chhattisgarh,2018,balrampur district,61651
Chhattisgarh,2018,bastar district,93739
Chhattisgarh,2018,bemetara district,83130
Chhattisgarh,2018,bijapur district,27392
Chhattisgarh,2018,bilaspur district,436979
Chhattisgarh,2018,dantewada district,36783
Chhattisgarh,2018,dhamtari district,104619
Chhattisgarh,2018,durg district,552530
Chhattisgarh,2018,gariyaband district,59754
Chhattisgarh,2018,janjgir champa district,287472
Chhattisgarh,2018,jashpur district,80889
Chhattisgarh,2018,kabirdham district,79332
Chhattisgarh,2018,kanker district,76316
Chhattisgarh,2018,kondagaon district,41395
Chhattisgarh,2018,korba district,250606
Chhattisgarh,2018,korea district,98927
Chhattisgarh,2018,mahasamund district,132070
Chhattisgarh,2018,mungeli district,55228
Chhattisgarh,2018,narayanpur district,12717
Chhattisgarh,2018,raigarh district,329294
Chhattisgarh,2018,raipur district,841399
Chhattisgarh,2018,rajnandgaon district,179514
Chhattisgarh,2018,sukma district,23881
Chhattisgarh,2018,surajpur district,84846
Chhattisgarh,2018,surguja district,144176
Chhattisgarh,2019,balod district,209394
Chhattisgarh,2019,baloda bazar district,356070
Chhattisgarh,2019,balrampur district,135891
Chhattisgarh,2019,bastar district,208011
Chhattisgarh,2019,bemetara district,175166
